Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units
NSRDB,566162,-,b'Washington',b'United States',47.62,-122.35,-8,37,-8,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%
Year,Month,Day,Hour,Minute,DHI,Temperature,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,DNI,GHI,Relative Humidity,Solar Zenith Angle,Surface Albedo,Pressure,Precipitable Water,Wind Direction,Wind Speed
2021,5,29,1,0,0,7,0,0,0,0,6.5,0,0,96.74,109.68,0.12,1013,1.2,20,0.8
2021,5,29,2,0,0,6.9,0,0,0,0,6.4,0,0,96.55,106.18,0.12,1013,1.1,16,0.7
2021,5,29,3,0,0,6.8,0,0,0,0,6.2,0,0,95.85,100.54,0.12,1013,1.1,14,0.7
2021,5,29,4,0,0,6.8,0,0,0,4,5.9,0,0,94.08,93.22,0.12,1013,1.1,10,0.6
2021,5,29,5,0,32,8,30,332,62,7,6.7,121,43,91.34,84.51,0.12,1013,1.1,352,0.6
2021,5,29,6,0,53,10,57,609,213,8,6.8,561,197,80.46,75.2,0.12,1013,1.1,359,0.7
2021,5,29,7,0,73,11.7,73,757,390,1,7.1,757,390,73.23,65.31,0.12,1013,1.1,1,0.9
2021,5,29,8,0,85,13.6,85,839,563,1,7.4,839,563,65.93,55.22,0.12,1013,1.2,2,0.8
2021,5,29,9,0,92,15.3,92,891,719,0,7.6,891,719,59.89,45.34,0.12,1012,1.2,7,0.7
2021,5,29,10,0,91,17.1,91,932,842,0,7.8,932,842,54.37,36.27,0.12,1012,1.3,8,0.6
2021,5,29,11,0,91,18.9,91,953,923,0,8.1,953,923,49.6,29.16,0.12,1011,1.3,358,0.6
2021,5,29,12,0,92,20.1,92,957,952,0,8.4,957,952,46.9,25.91,0.12,1011,1.4,347,0.6
2021,5,29,13,0,89,20.8,89,956,933,0,8.8,956,933,45.98,27.98,0.12,1010,1.4,338,0.6
2021,5,29,14,0,86,21.1,86,940,861,0,9.1,940,861,46.25,34.39,0.12,1010,1.5,333,0.6
2021,5,29,15,0,82,20.8,82,913,748,0,9.5,913,748,48.43,43.13,0.12,1009,1.5,331,0.7
2021,5,29,16,0,76,20.1,76,868,600,0,10.2,868,600,52.79,52.89,0.12,1009,1.5,334,0.7
2021,5,29,17,0,68,19.2,68,791,428,0,11.7,791,428,61.97,62.96,0.12,1009,1.6,340,0.6
2021,5,29,18,0,56,17.7,56,663,251,0,13.5,663,251,76.29,72.91,0.12,1009,1.6,351,0.5
2021,5,29,19,0,35,14.8,35,433,92,1,12.7,433,92,87,82.39,0.12,1009,1.6,4,0.6
2021,5,29,20,0,0,13.1,0,0,0,1,11.1,0,0,87.61,91.27,0.12,1010,1.6,10,0.8
2021,5,29,21,0,0,12.5,0,0,0,0,10.7,0,0,88.56,98.9,0.12,1010,1.6,12,0.8
2021,5,29,22,0,0,12.1,0,0,0,0,10.3,0,0,88.76,104.94,0.12,1010,1.6,9,0.8
2021,5,29,23,0,0,12,0,0,0,0,10,0,0,87.44,108.96,0.12,1010,1.7,1,0.7